Date,Quantity,Price,Item
09/02/2021,"2,400",3.0175,Bank Geared ETF
03/03/2021,800,4.1295,Bank Geared ETF
16/04/2021,800,4.1745,Bank Geared ETF
19/05/2021,945,5.2910,Bank Geared ETF
15/06/2021,862,5.9100,Bank Geared ETF
10/11/2021,"2,000",6.7380,Bank Geared ETF
28/02/2022,200,4.4180,Bank Geared ETF
16/08/2022,"7,900",3.0880,Bank Geared ETF
16/08/2022,"-7,492",3.0620,Bank Geared ETF
16/08/2022,-115,3.0620,Bank Geared ETF
16/08/2022,-400,3.0620,Bank Geared ETF
17/08/2022,100,3.0425,Bank Geared ETF
18/08/2022,295,2.9200,Bank Geared ETF
17/03/2025,"-2,445",27.0000,Bank Geared ETF
17/03/2025,-75,27.0000,Bank Geared ETF
17/03/2025,-75,27.0000,Bank Geared ETF
17/03/2025,-75,27.0000,Bank Geared ETF
17/03/2025,-75,27.0000,Bank Geared ETF
17/03/2025,-550,27.0000,Bank Geared ETF
28/03/2025,"1,290",25.8500,Bank Geared ETF
28/03/2025,110,25.8500,Bank Geared ETF
28/03/2025,"1,100",25.8450,Bank Geared ETF
02/04/2025,"-2,500",24.7400,Bank Geared ETF
02/04/2025,"-2,500",24.6600,Bank Geared ETF
04/04/2025,164,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,140,16.0000,Bank Geared ETF
04/04/2025,104,16.0000,Bank Geared ETF
04/04/2025,104,16.0000,Bank Geared ETF
04/04/2025,104,16.0000,Bank Geared ETF
04/04/2025,104,16.0000,Bank Geared ETF
04/04/2025,104,16.0000,Bank Geared ETF
04/04/2025,139,16.0000,Bank Geared ETF
04/04/2025,139,16.0000,Bank Geared ETF
04/04/2025,139,16.0000,Bank Geared ETF
04/04/2025,139,16.0000,Bank Geared ETF
04/04/2025,"-1,060",15.3220,Bank Geared ETF
04/04/2025,"-1,300",15.3240,Bank Geared ETF
04/04/2025,-140,15.3240,Bank Geared ETF
01/04/2025,100,1.0000,Test Item
02/04/2025,100,2.0000,Test Item
03/04/2025,-150,3.0000,Test Item
04/04/2025,-50,1.0000,Test Item
