Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price ,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,,
05-12-2025,15:30,NETFLIX INC. - COMMON,US64110L1061,NDQ,XNAS,15,98.7500,USD,"-1,481.25",USD,"-1,271.25",1.1652,-3.18,-2.00,"-1,273.25",,6e345f9d-5c11-409a-bde6-af1cdd5adcff,
04-12-2025,14:22,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,MESI,500,15.9250,EUR,"-7,962.50",EUR,"-7,962.50",,0.00,-3.00,"-7,965.50",,2d376069-9346-49c9-ac90-c9015977c4ff,
27-11-2025,15:50,PFIZER INC,US7170811035,TDG,XGAT,300,22.1350,EUR,"-6,640.50",EUR,"-6,640.50",,0.00,-3.90,"-6,644.40",,17a4daf5-7386-43ac-98a4-4c7a23d24ab4,
27-11-2025,15:45,WISDOMTREE MANAGEMENT LTD.,IE0002Y8CX98,XET,XETA,-550,28.6050,EUR,"15,732.75",EUR,"15,732.75",,0.00,-3.00,"15,729.75",,5f96efb1-329d-4508-b874-abdb66009578,
25-11-2025,15:45,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,70,170.6000,EUR,"-11,942.00",EUR,"-11,942.00",,0.00,-3.90,"-11,945.90",,c60838ad-eccd-4059-82f9-45b2ef675ef5,
25-11-2025,15:30,GARTNER INC. COMMON S,US3666511072,NSY,XNYS,-51,230.2500,USD,"11,742.75",USD,"10,162.55",1.1555,-25.41,,"10,162.55",,37d2bcf9-5cfb-4413-b265-35276badc641,
25-11-2025,15:30,GARTNER INC. COMMON S,US3666511072,NSY,XNYS,-9,230.2500,USD,"2,072.25",USD,"1,793.39",1.1555,-4.48,-2.00,"1,791.39",,37d2bcf9-5cfb-4413-b265-35276badc641,
25-11-2025,14:12,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,20,174.7800,EUR,"-3,495.60",EUR,"-3,495.60",,0.00,-3.90,"-3,499.50",,ea8222ed-131a-40ac-bcd8-fbddc78367d8,
25-11-2025,10:53,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,50,180.5000,EUR,"-9,025.00",EUR,"-9,025.00",,0.00,-3.90,"-9,028.90",,83cb47f6-67bc-4c0e-bb73-018fdb9f2d0c,
25-11-2025,10:01,PFIZER INC,US7170811035,TDG,XGAT,-300,21.9000,EUR,"6,570.00",EUR,"6,570.00",,0.00,-3.90,"6,566.10",,d621158b-c87b-43a6-b330-869265a34149,
25-11-2025,09:47,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,-120,38.7050,EUR,"4,644.60",EUR,"4,644.60",,0.00,-3.90,"4,640.70",,4fbcc662-1bd6-49b1-a31b-5f44fc7c38c3,
06-08-2025,15:49,GARTNER INC. COMMON S,US3666511072,NSY,ARCX,60,247.5600,USD,"-14,853.60",USD,"-12,777.37",1.1625,-31.94,-2.00,"-12,779.37",,39829395-2144-4056-ac54-02955ca66ca5,
06-08-2025,15:30,GARTNER INC. COMMON S,US3666511072,NSY,XNYS,-60,243.5000,USD,"14,610.00",USD,"12,567.82",1.1625,-31.42,-2.00,"12,565.82",,b7871c7d-c15b-496c-a539-5d0c1675d0d0,
06-06-2025,15:41,GARTNER INC. COMMON S,US3666511072,NSY,XNYS,25,422.0000,USD,"-10,550.00",USD,"-9,265.82",1.1386,-23.16,,"-9,265.82",,f8cbed75-b10e-4b8e-aeb2-5301897e41ee,
