Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
27/10/2025,11:12,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,-443,45.23,EUR,20036.89,EUR,20036.89,EUR,,-3.9,EUR,20032.99,EUR,edab82de-dc1c-4b00-8f8e-b42c75c25d5a
27/10/2025,11:11,CAPRICORN ENERGY PLC,GB00BNKT5L33,LSE,MESI,-103,201,GBX,20703,GBX,237.39,EUR,87.21,-4.9,EUR,232.49,EUR,661892ce-2537-4304-baa6-3796e66b3c1b
15/08/2025,13:52,INTEL CORP,US4581401001,TDG,XGAT,300,20.86,EUR,-6258,EUR,-6258,EUR,,-3.9,EUR,-6261.9,EUR,49d9de76-ff28-45c5-9e52-53728b8d1ad8
10/07/2025,10:26,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,50,89.7,EUR,-4485,EUR,-4485,EUR,,-3.9,EUR,-4488.9,EUR,eb6abac3-0ca5-45c3-b624-e23ef0fd1728
04/07/2025,09:54,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,50,91.2,EUR,-4560,EUR,-4560,EUR,,-3.9,EUR,-4563.9,EUR,de969ab3-d3aa-41b0-b001-7d297650a9eb
04/07/2025,07:30,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,50,92,EUR,-4600,EUR,-4600,EUR,,-3.9,EUR,-4603.9,EUR,cac1bd61-7986-463f-be3b-bc1280281a2a
12/06/2025,14:37,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,100,101,EUR,-10100,EUR,-10100,EUR,,-3.9,EUR,-10103.9,EUR,d7044cf3-8732-4cca-b78d-6ad7ddcd11ac
05/06/2025,15:30,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,NSY,XNYS,20,244.12,USD,-4882.4,USD,-4249.29,EUR,1.15,-2,EUR,-4251.29,EUR,8b50e534-f938-4f9e-96eb-c38911525d41
16/05/2025,19:27,ESTEE LAUDER COMPANIES,US5184391044,NSY,CDED,30,65.4253,USD,-1962.76,USD,-1761.69,EUR,1.11,-2,EUR,-1763.69,EUR,95207e4e-879c-49d7-a616-554be4620cde
14/05/2025,15:30,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,NSY,XNYS,30,242,USD,-7260,USD,-6469.48,EUR,1.12,-2,EUR,-6471.48,EUR,977b0e8a-73a1-4b3b-8712-dc8f39bbb45d
14/05/2025,15:30,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,NSY,XNYS,20,242,USD,-4840,USD,-4312.98,EUR,1.12,-2,EUR,-4314.98,EUR,1aeaac08-a677-42d1-bade-46b50c19c53f
12/05/2025,09:50,BOEING CO,US0970231058,TDG,XGAT,20,180.56,EUR,-3611.2,EUR,-3611.2,EUR,,-3.9,EUR,-3615.1,EUR,f345d4f6-61b3-4a13-82d8-4560b673bafa
02/05/2025,15:44,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,NSY,ARCX,20,247.2,USD,-4944,USD,-4349.46,EUR,1.14,-2,EUR,-4351.46,EUR,ae3734f5-16af-4121-abd3-d5d5785b0d9c
02/05/2025,15:19,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,100,61.47,EUR,-6147,EUR,-6147,EUR,,-3.9,EUR,-6150.9,EUR,93646bf5-90c1-4624-8faa-fbaa06a60c47
02/05/2025,11:01,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,100,60.49,EUR,-6049,EUR,-6049,EUR,,-3.9,EUR,-6052.9,EUR,96b9c32f-a4e9-4881-a465-cadea9d3d993
29/04/2025,07:54,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,100,55.16,EUR,-5516,EUR,-5516,EUR,,-3.9,EUR,-5519.9,EUR,e7ae272c-4783-45d0-b31d-0d2ebfd29707
25/04/2025,07:30,INTEL CORP,US4581401001,TDG,XGAT,500,17.938,EUR,-8969,EUR,-8969,EUR,,-3.9,EUR,-8972.9,EUR,fe02c4e1-c2e2-4729-aa0a-c64d0902c3bf
